*,now-90d,now,*,total,eq,100000,Pipe QL
app_name=Oxam,now-90d,now,*,total,gt,0,Pipe QL
batch=batch-*,now-90d,now,*,total,eq,100000,Pipe QL
min(zip) groupby batch,now-90d,now,*,total,,100,Pipe QL
Sunday,now-90d,now,*,total,gt,1,Pipe QL
hortensebaumbach@emard.io,now-1d,now,*,total,gt,0,Pipe QL
http_status>400,now-1d,now,*,total,gt,0,Pipe QL
cardinality(user_email),now-1d,now,*,total,,1,Pipe QL
"""https://picsum.photos/127/459""",now-1d,now,*,total,eq,2,Pipe QL
latency<18580 AND app_name=Stresscrawl,now-1d,now,*,total,eq,1,Pipe QL
"""MintCream""",now-1d,now,*,total,eq,750,Pipe QL
"(MintCream AND (""Thursday"" OR ""Monday""))",now-1d,now,*,total,eq,212,Pipe QL
"(MintCream AND (""Thursday"" OR ""Monday"")) | min(latency) groupby state",now-1d,now,*,total,eq,212,Pipe QL
latency<10000 AND latitude>0 AND longitude > 0,now-1d,now,*,total,eq,27,Pipe QL
200,now-1d,now,*,total,gt,100,Pipe QL
200 OR 500,now-1d,now,*,total,gt,100,Pipe QL
min(latency),now-1d,now,*,group:min(latency):*,eq,110,Pipe QL
"min(latency) groupby city, http_method",now-1d,now,*,group:min(latency):Boston:POST,eq,5479,Pipe QL
"select batch as bt",now-1d,now,*,total,gt,100,SQL
"select weekday",now-1d,now,*,total,gt,1,SQL
"select gender as bt, city as `ct` from ind-0",now-1d,now,*,total,gt,0,SQL
"select batch as bt order by batch",now-1d,now,*,total,gt,100,SQL
"select batch as bt order by batch desc",now-1d,now,*,total,gt,100,SQL
"select batch as bt order by batch asc",now-1d,now,*,total,gt,100,SQL
"{app_name=""Oxam""}",now-1d,now,*,total,gt,0,Log QL
"{batch=""batch-*""}",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} |= ""Sunday""",now-1d,now,*,total,gt,1,Log QL
"{batch=""batch-*""} | json",now-1d,now,*,total,gt,100,Log QL
"{gender=""female""} | http_status>400",now-1d,now,*,total,gt,0,Log QL
"{gender=""female"",city=""Fresno""} != ""batch-212""",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} | json",now-1d,now,*,total,gt,1,Log QL
"{gender=""female"",city=""Fresno""} | json city_life=""city"", single_gender=""gender""",now-1d,now,*,total,gt,100,Log QL
"{gender=""female"",city=""Fresno""} | logfmt city_life=""city"", single_gender=""gender""",now-1d,now,*,total,gt,100,Log QL
"{weekday=""Sunday""} | logfmt",now-1d,now,*,total,gt,1,Log QL
"count_over_time({batch=""batch-*""}[1d])", now-1d,now,*,total,gt,100,Log QL
app_name=Termitehad,now-90d,now,*,total,eq,21,Splunk QL
app_name=Termitehad http_status=*,now-90d,now,*,total,eq,21,Splunk QL
app_name=Termitehad http_status=***,now-90d,now,*,total,eq,21,Splunk QL
app_name=Termitehad http_status=200,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=20*,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=2**,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=2**********,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=2*0,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=2*****0,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=302,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=**2,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=*2,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=30******2,now-90d,now,*,total,eq,5,Splunk QL
app_name=Termitehad http_status=404,now-90d,now,*,total,eq,3,Splunk QL
app_name=Termitehad http_status=4*4,now-90d,now,*,total,eq,3,Splunk QL
app_name=Termitehad http_status=4,now-90d,now,*,total,eq,0,Splunk QL
app_name=Termitehad city=Tucson*,now-90d,now,*,total,eq,1,Splunk QL
app_name=Termitehad city=Tucso*n*,now-90d,now,*,total,eq,1,Splunk QL
app_name=Termitehad city=Tuc*s*o*n*,now-90d,now,*,total,eq,1,Splunk QL
app_name=Termitehad city=Tuc**s*o*n*,now-90d,now,*,total,eq,1,Splunk QL
